CAM_ID	participantCAM	mean_valence_macro	mean_valence_normed_macro	density_macro	transitivity_macro	centr_degree_macro	centr_clo_macro	centr_betw_macro	centr_eigen_macro	meanDistance_directed_macro	meanDistance_undirected_macro	diameter_weighted_undirected_macro	diameter_unweighted_undirected_macro	diameter_unweighted_directed_macro	num_nodes_macro	num_nodes_pos_macro	num_nodes_neg_macro	num_nodes_neut_macro	num_nodes_ambi_macro	num_edges_macro	num_edges_solid_macro	num_edges_dashed_macro	num_edges_invaliddashed_macro	meanWeightEdges_macro	reciprocity_macro	assortativity_valence_macro	assortativityDegree_macro	degreetot_micro_technologicalimplant	valence_micro_technologicalimplant	centr_clo_micro_technologicalimplant
absdw1_1927	absdw1_1927	-1.2	-0.4	0.2	0	0.375	1.0000000000000002	1	0.6666666666666665	1	1.6	4	2	1	5	1	3	1	0	4	4	0	0	2	0	-0.8064516129032258	-1	4	0	1
alcoj1_1906	alcoj1_1906	-0.5	-0.21428571428571427	0.1813186813186813	0.2926829268292683	0.3431952662721893	0.5750239233897979	0.7347140039447732	0.7270115992493782	2.5680473372781063	2.4285714285714284	8	4	5	14	1	4	7	2	33	33	0	0	2	0.9090909090909091	-0.3689956331877737	-0.160061646851607	13	0	1
apchr1_1856	apchr1_1856	0.6	0.4	0.1	0	0.32098765432098764	0.759425837320574	0.8950617283950617	0.7473061483201127	1.1	2.111111111111111	8	4	2	10	5	1	2	2	9	5	4	0	2	0	-0.27272727272727215	-0.6757624398073835	7	0	1
babrs1_1871	babrs1_1871	0.13333333333333333	0.13333333333333333	0.12380952380952381	0	0.32653061224489793	0.5892161342192408	0.8100470957613815	0.7676059993002101	2.5	2.6	9	4	4	15	8	6	1	0	26	16	10	0	2.076923076923077	0.8461538461538461	-0.023148148148147755	-0.24046858359957424	12	0	1
babui1_1971	babui1_1971	0.2	0.2	0.1111111111111111	0.14285714285714285	0.24691358024691357	0.4830695346320347	0.7037037037037037	0.7357564845728076	1.3571428571428572	2.3777777777777778	9	4	3	10	5	3	2	0	10	9	1	0	2.1	0	-0.4046822742474913	-0.6541353383458647	6	0	1
becha1_1827	becha1_1827	0	0.0625	0.07083333333333333	0.09230769230769231	0.31555555555555553	0.7298898517064902	0.8882539682539683	0.7852463258232517	1.2272727272727273	2.275	9	4	2	16	6	5	5	0	17	13	4	1	2.0588235294117645	0	-0.2864864864864862	-0.5182508801185844	11	0	1
bopof1_1872	bopof1_1872	0.46153846153846156	0.15384615384615385	0.07692307692307693	0	0.1875	0.5455473876526507	0.7853535353535354	0.7586199726675825	1.3888888888888888	2.6923076923076925	10	5	3	13	6	4	3	0	12	8	4	0	2	0	-0.7100737100737079	-0.32089552238805963	6	0	1
brabg1_1887	brabg1_1887	-0.8571428571428571	-0.21428571428571427	0.23076923076923078	0.297029702970297	0.2485207100591716	0.3676713386702141	0.2252624868009483	0.5461773952464513	2.318681318681319	1.8241758241758241	7	3	7	14	4	7	2	1	42	31	11	2	2.1904761904761907	0.7142857142857143	0.18093174431202558	-0.4404203627323585	9	0	0.9
brhua1_1832	brhua1_1832	-0.9333333333333333	-0.3333333333333333	0.15714285714285717	0.3	0.25255102040816324	0.5396752445244101	0.4575169728230952	0.6128038229222578	2.5303030303030303	2.0952380952380953	8	4	6	15	4	9	1	1	33	30	3	3	2	0.5454545454545454	0.1315789473684236	-0.47795065761196537	10	-1	1
bumad1_1860	bumad1_1860	-0.26666666666666666	-0.2	0.07619047619047618	0.06976744186046512	0.22448979591836735	0.5410656729496012	0.728414442700157	0.7256704201380788	1.3478260869565217	2.447619047619048	11	5	3	15	4	7	1	3	16	8	8	0	2.125	0	0.47540983606557374	-0.5691460055096419	8	0	1
caber1_1833	caber1_1833	1.1	0.5	0.1	0	0.19753086419753085	0.505377435064935	0.6944444444444444	0.7037948703546287	1.5	2.4444444444444446	10	5	3	10	7	2	1	0	9	9	0	0	2	0	0.14285714285714243	-0.47826086956521763	3	0	0.875
chdaa1_1905	chdaa1_1905	0.36363636363636365	0.18181818181818182	0.17272727272727273	0.10344827586206896	0.525	0.6537572612572612	0.7911111111111111	0.7743701897852984	1.9027777777777777	2.1272727272727274	7	3	3	11	5	3	1	2	19	17	2	1	2.0526315789473686	0.8421052631578947	-0.5458845789971615	-0.6780436312456015	13	0	1
chros1_1908	chros1_1908	-0.8888888888888888	-0.3333333333333333	0.20833333333333334	0	0.6796875	0.8460884353741495	0.9330357142857143	0.740125245803662	1.9375	1.9444444444444444	6	3	3	9	2	5	1	1	15	5	10	2	2	0.9333333333333333	-0.6363636363636374	-0.8142857142857143	13	0	1
cofrn1_1912	cofrn1_1912	-0.3076923076923077	-0.15384615384615385	0.11538461538461538	0.2222222222222222	0.4166666666666667	0.9491735537190086	0.884469696969697	0.7202294579893211	1.1	1.7692307692307692	5	2	2	13	4	6	1	2	18	11	7	0	2.2777777777777777	0	-0.10843373493975905	-0.5675675675675675	NA	NA	NA
dewae1_1896	dewae1_1896	0.6	0.2	0.07142857142857142	0.08823529411764706	0.1913265306122449	0.5851063674604657	0.7990580847723705	0.76410550473241	1.2857142857142858	2.5904761904761906	8	4	2	15	8	5	2	0	15	11	4	0	2	0	-0.11801242236024828	-0.27383015597920257	7	0	1
dheak1_1845	dheak1_1845	0.9	0.3	0.18888888888888888	0	0.4691358024691358	0.6570245726495725	0.8076131687242797	0.7396239081220639	2.1780821917808217	2.2222222222222223	11	4	4	10	5	2	2	1	17	13	4	0	2.4705882352941178	0.8235294117647058	0.06299212598425238	-0.4444191343963554	11	0	1
doava1_1852	doava1_1852	-0.36363636363636365	-0.09090909090909091	0.15454545454545454	0.10714285714285714	0.435	0.6743671965894192	0.8088888888888889	0.7374172065463325	2.015151515151515	2.1818181818181817	8	4	3	11	3	4	3	1	17	11	6	0	2	0.7058823529411765	-0.4655172413793102	-0.5747602441150832	11	0	1
eaasc1_1966	eaasc1_1966	0	0	0.11695906432748537	0.39520958083832336	0.1111111111111111	0.3361648128558303	0.2211458657537089	0.5476409317731993	1.6582278481012658	2.3391812865497075	11	5	4	19	8	8	2	1	40	40	0	0	2.15	0	0.2615384615384612	0.05726385564352814	7	0	1
emmij1_1911	emmij1_1911	0.9	0.3	0.23333333333333334	0.17647058823529413	0.6666666666666666	0.836111111111111	0.8765432098765432	0.7103925785498498	1.9012345679012346	1.9111111111111112	9	3	3	10	5	2	2	1	21	21	0	0	2.4285714285714284	0.9523809523809523	-0.3342541436464094	-0.6505667086450848	15	0	1
evbit1_1840	evbit1_1840	0.08333333333333333	0.08333333333333333	0.12878787878787878	0.29577464788732394	0.4049586776859504	0.9378947368421052	0.8809917355371901	0.6976958460180744	1	1.7424242424242424	6	2	1	12	6	5	1	0	17	12	5	0	2.1176470588235294	0	-0.1724137931034496	-0.5667711598746085	11	0	1
evbos1_1883	evbos1_1883	-0.4583333333333333	-0.16666666666666666	0.05615942028985508	0.06666666666666667	0.1001890359168242	0.4105075181185741	0.4470773083249455	0.734724423495467	2.557046979865772	2.9057971014492754	15	5	4	24	7	11	6	0	31	11	20	6	2.7419354838709675	0.06451612903225806	-0.2731006160164282	-0.48252605763335343	NA	NA	NA
fasts1_1847	fasts1_1847	0.42857142857142855	0.19047619047619047	0.05952380952380952	0	0.17375	0.47311848123772793	0.7413157894736843	0.8828955076382606	1.5471698113207548	3.085714285714286	12	5	3	21	11	7	1	2	25	18	7	2	2.16	0.4	0.05660377358490598	-0.4083723001558671	5	0	1
