session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status
608c4ce77ff096c91bc03d44,60478deac07fa7000b0f2f2e,RETURNED,2021-04-30 18:31:03.497000,,233125.244154,37,41,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608c4ceb7a1d777cf43f91d1,5e7d790c0d34ae3fef75c74e,APPROVED,2021-04-30 18:31:09.453000,2021-04-30 19:33:34.815000,3745.362,41,347,2,100,2021-05-02 13:56:12.250000,2A25E7C1,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Male,Yes
608c4cec7ced5593e556374e,606226520b95abbc59802c10,APPROVED,2021-04-30 18:31:20.557000,2021-04-30 19:39:49.804000,4109.247,23,35,0,100,2021-05-02 13:28:05.611000,2A25E7C1,Canada,Canada,Part-Time,,English,Canada,Female,No
608c4ced3b19758ce52a30ae,5f2aa04952f67f2f20d13b0e,APPROVED,2021-04-30 18:31:09.677000,2021-04-30 19:41:32.196000,4222.519,38,110,0,100,2021-05-02 13:28:03.624000,2A25E7C1,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,No
608c4cf0ad75410cde4c83b8,5c8bd1f03b6f3d00013d7ca9,RETURNED,2021-04-30 18:31:22.628000,,233106.1396,53,376,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608c561427ade550ed862069,5c67d802b65acc0001efc38f,APPROVED,2021-04-30 19:12:48.471000,2021-04-30 20:07:51.374000,3302.903,21,168,0,100,2021-05-02 13:28:01.576000,2A25E7C1,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,Yes
608c60176e41107a9584eace,5e5949d72ec42015cee7e745,RETURNED,2021-04-30 19:52:55.867000,,228212.91108,20,47,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608c60bf341430bc84a6dc14,5ce9b0e4be5a6b00163f6870,APPROVED,2021-04-30 19:56:41.890000,2021-04-30 21:19:45.736000,4983.846,54,862,4,100,2021-05-02 13:28:00.337000,2A25E7C1,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
608eaa28ef40ce1c2dc46012,6047ff03cb24e712c17514b7,RETURNED,2021-05-02 13:33:27.986000,,78180.802216,21,64,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa2a7b86bd8e033f4056,5ddd81685be2df000bcd679a,AWAITING REVIEW,2021-05-02 13:34:25.018000,2021-05-02 14:23:37.878000,2952.86,24,497,5,99,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
