CAM	participantCAM	id	daughterID	motherID	intensity	agreement	isBidirectional	isDeletable	isActive
2316	alcojo2_2316	34089	35452	35444	6	0	0	NA	NA
2316	alcojo2_2316	34088	35443	35436	6	1	0	NA	NA
2316	alcojo2_2316	34087	35437	35441	6	1	0	NA	NA
2316	alcojo2_2316	34086	35437	35445	6	1	0	NA	NA
2316	alcojo2_2316	34085	35449	35452	6	1	0	NA	NA
2316	alcojo2_2316	34084	35440	35443	6	1	0	NA	NA
2316	alcojo2_2316	34083	35440	35452	6	1	0	NA	NA
2316	alcojo2_2316	34082	35443	35452	6	1	0	NA	NA
2316	alcojo2_2316	34081	35438	35451	6	1	0	NA	NA
2316	alcojo2_2316	34080	35439	35451	6	1	0	NA	NA
2316	alcojo2_2316	34079	35448	35450	6	0	0	NA	NA
2316	alcojo2_2316	34078	35435	35448	6	1	0	NA	NA
2316	alcojo2_2316	34077	35438	35439	6	1	0	NA	NA
2316	alcojo2_2316	34076	35444	35445	6	0	0	NA	NA
2316	alcojo2_2316	34075	35444	35446	6	0	0	NA	NA
2316	alcojo2_2316	34074	35438	35446	6	1	0	NA	NA
2316	alcojo2_2316	34073	35442	35447	6	1	0	NA	NA
2316	alcojo2_2316	34071	35436	35443	6	1	0	NA	NA
2316	alcojo2_2316	34070	35436	35437	6	1	0	NA	NA
2316	alcojo2_2316	34069	35436	35441	6	1	0	NA	NA
2316	alcojo2_2316	34068	35435	35436	6	1	0	NA	NA
2316	alcojo2_2316	34067	35435	35440	6	1	0	NA	NA
2316	alcojo2_2316	34066	35435	35442	6	1	0	NA	NA
2316	alcojo2_2316	34065	35439	35442	6	0	0	NA	NA
2316	alcojo2_2316	34064	35435	35439	6	1	0	NA	NA
2316	alcojo2_2316	34063	35444	35445	6	1	0	NA	NA
2316	alcojo2_2316	34062	35438	35444	6	1	0	NA	NA
2316	alcojo2_2316	34061	35435	35438	6	1	0	NA	NA
2316	alcojo2_2316	34060	35435	35449	6	1	0	NA	NA
2171	apchro2_2171	31452	31536	31538	6	1	0	NA	NA
2171	apchro2_2171	31451	31528	31536	6	1	0	NA	NA
2171	apchro2_2171	31443	31457	31531	6	1	0	NA	NA
2171	apchro2_2171	31434	31528	31530	6	1	0	NA	NA
2171	apchro2_2171	31433	31457	31528	6	1	0	NA	NA
2171	apchro2_2171	31408	31464	31525	6	1	0	NA	NA
2171	apchro2_2171	31401	31471	31522	6	1	0	NA	NA
2171	apchro2_2171	31395	31463	31498	6	1	0	NA	NA
2171	apchro2_2171	31394	31493	31498	6	1	0	NA	NA
2171	apchro2_2171	31393	31462	31498	6	1	0	NA	NA
2171	apchro2_2171	31392	31457	31498	6	1	0	NA	NA
2171	apchro2_2171	31391	31457	31464	6	1	0	NA	NA
2171	apchro2_2171	31388	31467	31484	6	1	0	NA	NA
2171	apchro2_2171	31387	31467	31486	6	1	0	NA	NA
2171	apchro2_2171	31386	31467	31486	6	1	0	NA	NA
2171	apchro2_2171	31385	31457	31467	6	1	0	NA	NA
2171	apchro2_2171	31384	31469	31509	6	1	0	NA	NA
2171	apchro2_2171	31383	31457	31469	6	1	0	NA	NA
2171	apchro2_2171	31379	31476	31491	6	1	0	NA	NA
2171	apchro2_2171	31378	31476	31501	6	1	0	NA	NA
2171	apchro2_2171	31377	31457	31476	6	1	0	NA	NA
2171	apchro2_2171	31376	31457	31471	6	1	0	NA	NA
2171	apchro2_2171	31375	31471	31480	6	1	0	NA	NA
2145	babrsh2_2145	31067	31061	31107	6	1	0	NA	NA
2145	babrsh2_2145	31064	31038	31086	6	0	0	NA	NA
2145	babrsh2_2145	31046	31041	31092	6	1	0	NA	NA
2145	babrsh2_2145	30946	31056	30979	9	1	0	NA	NA
2145	babrsh2_2145	30947	31061	30979	9	1	0	NA	NA
2145	babrsh2_2145	30953	31044	31038	6	1	1	NA	NA
2145	babrsh2_2145	30952	31041	31038	6	1	1	NA	NA
2145	babrsh2_2145	31024	31092	31052	6	1	1	NA	NA
2145	babrsh2_2145	31011	31086	31092	9	1	1	NA	NA
2145	babrsh2_2145	31001	31013	31023	6	1	0	NA	NA
2145	babrsh2_2145	30998	30979	31015	6	1	0	NA	NA
2145	babrsh2_2145	30994	31019	31023	6	1	0	NA	NA
2145	babrsh2_2145	30993	31007	31019	9	1	0	NA	NA
2145	babrsh2_2145	30989	31007	31013	6	1	0	NA	NA
2145	babrsh2_2145	30988	30979	31013	6	1	0	NA	NA
2145	babrsh2_2145	30980	31056	31144	6	1	1	NA	NA
2145	babrsh2_2145	30977	31056	31107	6	1	1	NA	NA
2145	babrsh2_2145	30971	31131	31052	9	1	1	NA	NA
2145	babrsh2_2145	30965	31061	31131	6	0	0	NA	NA
2145	babrsh2_2145	30957	31061	31052	9	0	1	NA	NA
2145	babrsh2_2145	30955	31052	31044	9	1	1	NA	NA
2145	babrsh2_2145	30950	30979	31038	9	0	0	NA	NA
2145	babrsh2_2145	30942	31061	31086	6	1	1	NA	NA
2145	babrsh2_2145	30938	30997	31078	6	1	0	NA	NA
2145	babrsh2_2145	30936	30979	31078	6	1	0	NA	NA
2145	babrsh2_2145	30929	30997	31001	9	1	0	NA	NA
2216	babuim2_2216	32069	32163	32173	6	1	0	NA	NA
2216	babuim2_2216	32068	32163	32172	6	1	0	NA	NA
2216	babuim2_2216	32067	32163	32171	6	1	0	NA	NA
2216	babuim2_2216	32066	32163	32176	6	1	0	NA	NA
2216	babuim2_2216	32065	32163	32167	6	0	0	NA	NA
2216	babuim2_2216	32064	32163	32166	6	0	0	NA	NA
2216	babuim2_2216	32063	32163	32170	6	0	0	NA	NA
2216	babuim2_2216	32062	32163	32175	6	0	0	NA	NA
2216	babuim2_2216	32061	32163	32169	6	0	0	NA	NA
2216	babuim2_2216	32060	32163	32168	6	0	0	NA	NA
2216	babuim2_2216	32059	32165	32174	6	0	0	NA	NA
2216	babuim2_2216	32058	32163	32174	6	0	0	NA	NA
2141	bechan2_2141	30909	31112	31139	6	1	0	NA	NA
2141	bechan2_2141	30906	31106	31133	9	1	0	NA	NA
2141	bechan2_2141	30895	30977	31112	6	1	0	NA	NA
2141	bechan2_2141	30894	30977	31116	6	1	0	NA	NA
2141	bechan2_2141	30892	30959	30977	6	1	0	NA	NA
2141	bechan2_2141	30889	30983	31121	6	1	0	NA	NA
2141	bechan2_2141	30868	30986	31106	9	1	0	NA	NA
2141	bechan2_2141	30863	30980	31101	6	1	0	NA	NA
2141	bechan2_2141	30855	30962	31097	6	1	0	NA	NA
2141	bechan2_2141	30849	30966	31094	6	1	0	NA	NA
2141	bechan2_2141	30848	30966	31090	6	1	0	NA	NA
2141	bechan2_2141	30829	30959	30966	6	1	0	NA	NA
2141	bechan2_2141	30801	30959	30983	6	0	0	NA	NA
2141	bechan2_2141	30784	30959	30977	6	1	0	NA	NA
2141	bechan2_2141	30782	30959	30986	9	1	0	NA	NA
2141	bechan2_2141	30780	30959	30980	9	0	0	NA	NA
2141	bechan2_2141	30778	30959	30962	6	1	0	NA	NA
2141	bechan2_2141	30773	30963	31018	6	1	0	NA	NA
2141	bechan2_2141	30769	30959	30963	6	0	0	NA	NA
2141	bechan2_2141	30761	30959	30963	6	0	0	NA	NA
2141	bechan2_2141	30740	31009	30963	6	1	1	NA	NA
2141	bechan2_2141	30736	30959	30963	6	0	0	NA	NA
2141	bechan2_2141	30734	30963	31018	6	1	0	NA	NA
2182	bopofr2_2182	31658	31694	31704	6	0	1	NA	NA
2182	bopofr2_2182	31657	31691	31694	6	1	0	NA	NA
2182	bopofr2_2182	31656	31690	31691	6	1	1	NA	NA
2182	bopofr2_2182	31654	31688	31689	6	1	0	NA	NA
2182	bopofr2_2182	31653	31706	31708	6	0	1	NA	NA
2182	bopofr2_2182	31652	31705	31706	6	1	0	NA	NA
2182	bopofr2_2182	31651	31683	31685	6	1	1	NA	NA
2182	bopofr2_2182	31650	31683	31685	6	1	0	NA	NA
2182	bopofr2_2182	31649	31683	31685	6	1	0	NA	NA
2182	bopofr2_2182	31639	31683	31687	6	1	1	NA	NA
2182	bopofr2_2182	31633	31683	31687	6	1	0	NA	NA
2182	bopofr2_2182	31628	31683	31687	6	1	0	NA	NA
2182	bopofr2_2182	31623	31710	31714	6	0	1	NA	NA
2182	bopofr2_2182	31622	31698	31700	6	0	1	NA	NA
2182	bopofr2_2182	31620	31697	31698	6	0	1	NA	NA
2182	bopofr2_2182	31615	31676	31688	6	1	0	NA	NA
2182	bopofr2_2182	31613	31676	31690	6	1	0	NA	NA
2182	bopofr2_2182	31611	31676	31710	6	1	0	NA	NA
2182	bopofr2_2182	31610	31676	31702	6	1	0	NA	NA
2182	bopofr2_2182	31609	31676	31696	6	1	0	NA	NA
2182	bopofr2_2182	31608	31676	31697	6	1	0	NA	NA
2182	bopofr2_2182	31607	31676	31695	6	0	0	NA	NA
2182	bopofr2_2182	31606	31676	31683	6	1	0	NA	NA
2182	bopofr2_2182	31605	31676	31705	6	1	0	NA	NA
2174	brabgo2_2174	31503	31596	31595	9	1	1	NA	NA
2174	brabgo2_2174	31533	31589	31600	6	0	0	NA	NA
2174	brabgo2_2174	31532	31600	31603	9	1	1	NA	NA
2174	brabgo2_2174	31531	31568	31603	9	0	0	NA	NA
2174	brabgo2_2174	31530	31568	31600	9	0	0	NA	NA
2174	brabgo2_2174	31517	31572	31595	9	1	1	NA	NA
2174	brabgo2_2174	31514	31569	31572	6	1	0	NA	NA
2174	brabgo2_2174	31510	31568	31595	6	0	0	NA	NA
2174	brabgo2_2174	31508	31595	31592	6	1	1	NA	NA
2174	brabgo2_2174	31507	31593	31592	6	1	1	NA	NA
2174	brabgo2_2174	31506	31595	31593	9	1	1	NA	NA
2174	brabgo2_2174	31505	31584	31592	9	1	1	NA	NA
2174	brabgo2_2174	31504	31595	31567	6	0	1	NA	NA
2174	brabgo2_2174	31502	31569	31595	6	1	0	NA	NA
2174	brabgo2_2174	31501	31596	31570	6	1	1	NA	NA
2174	brabgo2_2174	31500	31569	31596	6	1	0	NA	NA
2174	brabgo2_2174	31499	31578	31589	6	0	0	NA	NA
2174	brabgo2_2174	31498	31584	31589	6	0	1	NA	NA
2174	brabgo2_2174	31497	31566	31589	6	1	0	NA	NA
2174	brabgo2_2174	31496	31584	31578	6	0	1	NA	NA
2174	brabgo2_2174	31495	31567	31582	6	0	0	NA	NA
2174	brabgo2_2174	31494	31566	31582	6	1	0	NA	NA
2174	brabgo2_2174	31493	31582	31584	9	1	1	NA	NA
2174	brabgo2_2174	31492	31575	31576	6	1	1	NA	NA
2174	brabgo2_2174	31491	31566	31569	6	1	0	NA	NA
2174	brabgo2_2174	31490	31566	31572	6	1	0	NA	NA
2174	brabgo2_2174	31489	31567	31577	6	1	0	NA	NA
2174	brabgo2_2174	31488	31567	31575	6	1	0	NA	NA
2174	brabgo2_2174	31487	31567	31576	6	1	0	NA	NA
2174	brabgo2_2174	31486	31572	31578	6	1	1	NA	NA
2174	brabgo2_2174	31485	31568	31569	6	1	0	NA	NA
2174	brabgo2_2174	31484	31566	31568	6	1	0	NA	NA
2174	brabgo2_2174	31483	31566	31567	6	1	0	NA	NA
2174	brabgo2_2174	31482	31566	31569	6	1	0	NA	NA
2174	brabgo2_2174	31481	31569	31570	6	1	0	NA	NA
2174	brabgo2_2174	31480	31570	31571	6	1	0	NA	NA
2129	brhuan2_2129	30702	30733	30737	6	1	0	NA	NA
2129	brhuan2_2129	30693	30902	30971	6	1	0	NA	NA
2129	brhuan2_2129	30658	30813	30955	6	1	0	NA	NA
2129	brhuan2_2129	30647	30902	30925	6	1	0	NA	NA
2129	brhuan2_2129	30600	30680	30902	6	1	0	NA	NA
2129	brhuan2_2129	30598	30902	30904	6	1	0	NA	NA
2129	brhuan2_2129	30531	30753	30846	6	1	0	NA	NA
2129	brhuan2_2129	30527	30821	30838	6	1	0	NA	NA
2129	brhuan2_2129	30526	30821	30834	6	1	0	NA	NA
2129	brhuan2_2129	30518	30813	30821	6	1	0	NA	NA
2129	brhuan2_2129	30517	30680	30813	6	1	0	NA	NA
2129	brhuan2_2129	30515	30718	30813	6	1	0	NA	NA
2129	brhuan2_2129	30511	30753	30805	6	1	0	NA	NA
2129	brhuan2_2129	30496	30753	30760	6	1	0	NA	NA
2129	brhuan2_2129	30495	30753	30779	6	1	0	NA	NA
2129	brhuan2_2129	30493	30753	30774	6	1	0	NA	NA
2129	brhuan2_2129	30480	30680	30733	6	1	0	NA	NA
2129	brhuan2_2129	30479	30733	30749	6	1	0	NA	NA
2129	brhuan2_2129	30478	30737	30749	6	1	0	NA	NA
2129	brhuan2_2129	30477	30733	30749	6	1	0	NA	NA
2129	brhuan2_2129	30476	30733	30737	6	1	0	NA	NA
2129	brhuan2_2129	30475	30680	30753	6	1	0	NA	NA
2129	brhuan2_2129	30455	30718	30721	6	1	0	NA	NA
2129	brhuan2_2129	30454	30718	30719	6	1	0	NA	NA
2129	brhuan2_2129	30446	30691	30699	6	1	0	NA	NA
2129	brhuan2_2129	30435	30680	30691	6	1	0	NA	NA
2180	bumado2_2180	31581	31663	31686	6	1	0	NA	NA
2180	bumado2_2180	31580	31650	31681	6	0	0	NA	NA
2180	bumado2_2180	31579	31663	31680	6	1	0	NA	NA
2180	bumado2_2180	31578	31650	31674	6	1	0	NA	NA
2180	bumado2_2180	31577	31663	31672	6	1	0	NA	NA
2180	bumado2_2180	31576	31663	31668	6	1	0	NA	NA
2180	bumado2_2180	31575	31650	31670	6	1	0	NA	NA
2180	bumado2_2180	31574	31663	31668	6	1	0	NA	NA
2180	bumado2_2180	31573	31662	31663	6	1	0	NA	NA
2180	bumado2_2180	31572	31650	31660	6	1	0	NA	NA
