CAM.x	participantCAM.x	id	text	value	comment	date	x_pos	y_pos	isDraggable	isDeletable.x	isTextChangeable	isActive.x	CAM.y	participantCAM.y	id.y	idending	intensity	agreement	isBidirectional	isDeletable.y	isActive.y
2316	alcojo2_2316	35452	Better health	2	NA		649	285	NA	NA	NA	NA	2316	alcojo2_2316	34085	35449	6	1	0	NA	NA
2316	alcojo2_2316	35452	Better health	2	NA		649	285	NA	NA	NA	NA	2316	alcojo2_2316	34083	35440	6	1	0	NA	NA
2316	alcojo2_2316	35452	Better health	2	NA		649	285	NA	NA	NA	NA	2316	alcojo2_2316	34082	35443	6	1	0	NA	NA
2316	alcojo2_2316	35451	Obtaining military secrets	-3	NA		228	340	NA	NA	NA	NA	2316	alcojo2_2316	34081	35438	6	1	0	NA	NA
2316	alcojo2_2316	35451	Obtaining military secrets	-3	NA		228	340	NA	NA	NA	NA	2316	alcojo2_2316	34080	35439	6	1	0	NA	NA
2316	alcojo2_2316	35450	Burnout	-2	NA		866	429	NA	NA	NA	NA	2316	alcojo2_2316	34079	35448	6	0	0	NA	NA
2316	alcojo2_2316	35449	All ages 	1	NA	21:05:12	454	117	NA	NA	NA	NA	2316	alcojo2_2316	34060	35435	6	1	0	NA	NA
2316	alcojo2_2316	35448	Party harder	0	NA		779	556	NA	NA	NA	NA	2316	alcojo2_2316	34078	35435	6	1	0	NA	NA
2316	alcojo2_2316	35447	Easy for people to control	1	NA		528	579	NA	NA	NA	NA	2316	alcojo2_2316	34073	35442	6	1	0	NA	NA
2316	alcojo2_2316	35446	Better outcome of  missions 	2	NA	21:05:58	31	266	NA	NA	NA	NA	2316	alcojo2_2316	34075	35444	6	0	0	NA	NA
2316	alcojo2_2316	35446	Better outcome of  missions 	2	NA	21:05:58	31	266	NA	NA	NA	NA	2316	alcojo2_2316	34074	35438	6	1	0	NA	NA
2316	alcojo2_2316	35445	Alters troops mentality to be more violent	-3	NA	21:05:17	281	27	NA	NA	NA	NA	2316	alcojo2_2316	34086	35437	6	1	0	NA	NA
2316	alcojo2_2316	35445	Alters troops mentality to be more violent	-3	NA	21:05:17	281	27	NA	NA	NA	NA	2316	alcojo2_2316	34076	35444	6	0	0	NA	NA
2316	alcojo2_2316	35444	Overworking troops 	-2	NA	21:05:38	48	67	NA	NA	NA	NA	2316	alcojo2_2316	34089	35452	6	0	0	NA	NA
2316	alcojo2_2316	35444	Overworking troops 	-2	NA	21:05:38	48	67	NA	NA	NA	NA	2316	alcojo2_2316	34062	35438	6	1	0	NA	NA
2316	alcojo2_2316	35443	Stops side effects	1	NA		816	299	NA	NA	NA	NA	2316	alcojo2_2316	34084	35440	6	1	0	NA	NA
2316	alcojo2_2316	35443	Stops side effects	1	NA		816	299	NA	NA	NA	NA	2316	alcojo2_2316	34071	35436	6	1	0	NA	NA
2316	alcojo2_2316	35442	Controlled by an App	10	NA	20:56:01	314	502	NA	NA	NA	NA	2316	alcojo2_2316	34066	35435	6	1	0	NA	NA
2316	alcojo2_2316	35442	Controlled by an App	10	NA	20:56:01	314	502	NA	NA	NA	NA	2316	alcojo2_2316	34065	35439	6	0	0	NA	NA
2316	alcojo2_2316	35441	Intrusive	-1	NA		805	40	NA	NA	NA	NA	2316	alcojo2_2316	34087	35437	6	1	0	NA	NA
2316	alcojo2_2316	35441	Intrusive	-1	NA		805	40	NA	NA	NA	NA	2316	alcojo2_2316	34069	35436	6	1	0	NA	NA
2316	alcojo2_2316	35440	Stops addiction 	1	NA	20:50:54	626	469	NA	NA	NA	NA	2316	alcojo2_2316	34067	35435	6	1	0	NA	NA
2316	alcojo2_2316	35439	Hackers	-3	NA	21:08:05	42	488	NA	NA	NA	NA	2316	alcojo2_2316	34077	35438	6	1	0	NA	NA
2316	alcojo2_2316	35439	Hackers	-3	NA	21:08:05	42	488	NA	NA	NA	NA	2316	alcojo2_2316	34064	35435	6	1	0	NA	NA
2316	alcojo2_2316	35438	Military	0	NA		238	199	NA	NA	NA	NA	2316	alcojo2_2316	34061	35435	6	1	0	NA	NA
2316	alcojo2_2316	35437	Control of sleep 	-2	NA	20:45:26	590	20	NA	NA	NA	NA	2316	alcojo2_2316	34070	35436	6	1	0	NA	NA
2316	alcojo2_2316	35436	Brain implant	-3	NA		669	175	NA	NA	NA	NA	2316	alcojo2_2316	34088	35443	6	1	0	NA	NA
2316	alcojo2_2316	35436	Brain implant	-3	NA		669	175	NA	NA	NA	NA	2316	alcojo2_2316	34068	35435	6	1	0	NA	NA
2171	apchro2_2171	31538	Recovery for patients	10	NA	19:59:09	1155	340	NA	NA	NA	NA	2171	apchro2_2171	31452	31536	6	1	0	NA	NA
2171	apchro2_2171	31536	Hospitals?	10	NA	19:58:55	1061	213	NA	NA	NA	NA	2171	apchro2_2171	31451	31528	6	1	0	NA	NA
2171	apchro2_2171	31531	Dont like the idea	-2	NA	19:56:44	303	409	NA	NA	NA	NA	2171	apchro2_2171	31443	31457	6	1	0	NA	NA
2171	apchro2_2171	31530	Health?	10	NA	19:55:54	1167	151	NA	NA	NA	NA	2171	apchro2_2171	31434	31528	6	1	0	NA	NA
2171	apchro2_2171	31528	Are there any actual benefits?	10	NA	19:55:41	973	52	NA	NA	NA	NA	2171	apchro2_2171	31433	31457	6	1	0	NA	NA
2171	apchro2_2171	31525	What are the side effects?	-2	NA	19:53:27	20	325	NA	NA	NA	NA	2171	apchro2_2171	31408	31464	6	1	0	NA	NA
2171	apchro2_2171	31522	Could it be hacked into? And controlled externally?	-1	NA	19:52:13	320	20	NA	NA	NA	NA	2171	apchro2_2171	31401	31471	6	1	0	NA	NA
2171	apchro2_2171	31509	What else can be monitored? Our location?!!	-2	NA	19:49:07	890	506	NA	NA	NA	NA	2171	apchro2_2171	31384	31469	6	1	0	NA	NA
2171	apchro2_2171	31501	Employers 	-1	NA	19:47:28	856	195	NA	NA	NA	NA	2171	apchro2_2171	31378	31476	6	1	0	NA	NA
2171	apchro2_2171	31498	8 hours sleep a night	3	NA	19:47:00	228	195	NA	NA	NA	NA	2171	apchro2_2171	31395	31463	6	1	0	NA	NA
2171	apchro2_2171	31498	8 hours sleep a night	3	NA	19:47:00	228	195	NA	NA	NA	NA	2171	apchro2_2171	31394	31493	6	1	0	NA	NA
2171	apchro2_2171	31498	8 hours sleep a night	3	NA	19:47:00	228	195	NA	NA	NA	NA	2171	apchro2_2171	31393	31462	6	1	0	NA	NA
2171	apchro2_2171	31498	8 hours sleep a night	3	NA	19:47:00	228	195	NA	NA	NA	NA	2171	apchro2_2171	31392	31457	6	1	0	NA	NA
2171	apchro2_2171	31491	Parents to contol babies / children	-2	NA	19:46:12	858	355	NA	NA	NA	NA	2171	apchro2_2171	31379	31476	6	1	0	NA	NA
2171	apchro2_2171	31486	Rapists	-2	NA	19:45:49	590	544	NA	NA	NA	NA	2171	apchro2_2171	31387	31467	6	1	0	NA	NA
2171	apchro2_2171	31484	Murderers	-2	NA	19:45:39	245	544	NA	NA	NA	NA	2171	apchro2_2171	31388	31467	6	1	0	NA	NA
2171	apchro2_2171	31480	It could cause an accident	-1	NA	19:45:04	700	29	NA	NA	NA	NA	2171	apchro2_2171	31375	31471	6	1	0	NA	NA
2171	apchro2_2171	31476	Mis Use	-3	NA	19:44:23	697	278	NA	NA	NA	NA	2171	apchro2_2171	31377	31457	6	1	0	NA	NA
2171	apchro2_2171	31471	What if it fails?	-3	NA	19:43:50	511	100	NA	NA	NA	NA	2171	apchro2_2171	31376	31457	6	1	0	NA	NA
2171	apchro2_2171	31469	Who monitors it	-3	NA	19:43:09	679	452	NA	NA	NA	NA	2171	apchro2_2171	31383	31457	6	1	0	NA	NA
2171	apchro2_2171	31467	Could it be used for criminal activity?	-3	NA		394	515	NA	NA	NA	NA	2171	apchro2_2171	31385	31457	6	1	0	NA	NA
2171	apchro2_2171	31464	Goes against nature	-3	NA		64	428	NA	NA	NA	NA	2171	apchro2_2171	31391	31457	6	1	0	NA	NA
2145	babrsh2_2145	31144	No more insomnia	3	NA	18:24:44	56.9826	494.285	NA	NA	NA	NA	2145	babrsh2_2145	30980	31056	6	1	1	NA	NA
2145	babrsh2_2145	31131	Can be misused	-1	NA	18:10:53	462.496	815.33	NA	NA	NA	NA	2145	babrsh2_2145	30965	31061	6	0	0	NA	NA
2145	babrsh2_2145	31092	May become mandatory	-3	NA	18:06:28	992.896	624.931	NA	NA	NA	NA	2145	babrsh2_2145	31046	31041	6	1	0	NA	NA
2145	babrsh2_2145	31092	May become mandatory	-3	NA	18:06:28	992.896	624.931	NA	NA	NA	NA	2145	babrsh2_2145	31011	31086	9	1	1	NA	NA
2145	babrsh2_2145	31086	Better productivity	3	NA	18:06:08	791.649	506.358	NA	NA	NA	NA	2145	babrsh2_2145	31064	31038	6	0	0	NA	NA
2145	babrsh2_2145	31086	Better productivity	3	NA	18:06:08	791.649	506.358	NA	NA	NA	NA	2145	babrsh2_2145	30942	31061	6	1	1	NA	NA
2145	babrsh2_2145	31107	Enjoy life more	1	NA	18:24:29	126.958	704.969	NA	NA	NA	NA	2145	babrsh2_2145	31067	31061	6	1	0	NA	NA
2145	babrsh2_2145	31107	Enjoy life more	1	NA	18:24:29	126.958	704.969	NA	NA	NA	NA	2145	babrsh2_2145	30977	31056	6	1	1	NA	NA
2145	babrsh2_2145	31052	Psychological effects such as stress	-3	NA	18:03:35	839.146	831.778	NA	NA	NA	NA	2145	babrsh2_2145	31024	31092	6	1	1	NA	NA
