"Result ID","Start Time ","Last Seen ","Duration ","Batch","Worker ID ","Worker Type ","MTurk Worker ID (Confirmation Code) ","State ","Message "
"2749","2021/05/18 20:04:19","2021/05/18 22:20:33","02:16:38","Default","2462","General Multiple","none(none)","FINISHED","none"
"2742","2021/05/18 12:28:39","2021/05/18 13:14:54","00:47:50","Default","2455","General Multiple","none(none)","FINISHED","none"
"2741","2021/05/17 21:39:30","2021/05/17 22:41:37","01:02:07 (not finished yet)","Default","2454","General Multiple","none(none)","DATA_RETRIEVED","none"
"2740","2021/05/17 20:21:07","2021/05/17 21:21:19","01:00:55","Default","2453","General Multiple","none(none)","FINISHED","none"
"2716","2021/05/16 01:34:47","2021/05/16 02:21:04","00:46:57","Default","2432","General Multiple","none(none)","FINISHED","none"
"2700","2021/05/14 20:25:10","2021/05/14 20:53:15","00:28:05 (not finished yet)","Default","2422","General Multiple","none(none)","DATA_RETRIEVED","none"
"2699","2021/05/14 20:07:16","2021/05/14 20:57:23","00:50:11","Default","2421","General Multiple","none(none)","FINISHED","none"
"2693","2021/05/14 10:16:28","2021/05/14 12:18:42","02:03:06","Default","2415","General Multiple","none(none)","FINISHED","none"
"2691","2021/05/13 18:29:08","2021/05/13 18:51:35","01:12:08","Default","2413","General Multiple","none(none)","FINISHED","none"
"2686","2021/05/13 15:20:21","2021/05/13 15:46:24","00:26:03 (not finished yet)","Default","2408","General Multiple","none(none)","DATA_RETRIEVED","none"
"2685","2021/05/13 13:41:16","2021/05/13 13:41:17","00:00:01 (not finished yet)","Default","2407","General Multiple","none(none)","DATA_RETRIEVED","none"
"2683","2021/05/13 12:05:11","2021/05/13 12:35:14","00:31:17","Default","2405","General Multiple","none(none)","FINISHED","none"
"2682","2021/05/13 11:24:00","2021/05/13 12:05:03","00:41:03 (not finished yet)","Default","2404","General Multiple","none(none)","DATA_RETRIEVED","none"
"2681","2021/05/13 10:46:56","2021/05/13 11:23:01","00:36:55","Default","2403","General Multiple","none(none)","FINISHED","none"
"2679","2021/05/13 00:17:33","2021/05/13 00:55:54","00:39:20","Default","2401","General Multiple","none(none)","FINISHED","none"
"2678","2021/05/12 22:28:27","2021/05/12 23:16:31","00:49:17","Default","2400","General Multiple","none(none)","FINISHED","none"
"2677","2021/05/12 22:26:18","2021/05/12 23:00:21","00:34:14","Default","2399","General Multiple","none(none)","FINISHED","none"
"2676","2021/05/12 22:08:18","2021/05/13 06:19:01","08:10:43 (not finished yet)","Default","2398","General Multiple","none(none)","DATA_RETRIEVED","none"
"2675","2021/05/12 21:45:26","2021/05/12 22:13:36","00:29:46","Default","2397","General Multiple","none(none)","FINISHED","none"
"2674","2021/05/12 21:26:22","2021/05/12 22:28:57","01:02:38","Default","2396","General Multiple","none(none)","FINISHED","none"
"2673","2021/05/12 21:18:58","2021/05/12 21:55:04","00:36:50","Default","2395","General Multiple","none(none)","FINISHED","none"
"2672","2021/05/12 21:07:35","2021/05/12 22:07:41","01:00:37","Default","2394","General Multiple","none(none)","FINISHED","none"
"2671","2021/05/12 20:48:46","2021/05/13 01:04:54","04:16:08 (not finished yet)","Default","2393","General Multiple","none(none)","DATA_RETRIEVED","none"
"2670","2021/05/12 20:19:51","2021/05/12 21:24:20","01:05:29","Default","2392","General Multiple","none(none)","FINISHED","none"
"2669","2021/05/12 20:17:22","2021/05/12 20:53:38","00:37:55","Default","2391","General Multiple","none(none)","FINISHED","none"
"2668","2021/05/12 20:11:45","2021/05/12 21:32:08","01:20:57","Default","2390","General Multiple","none(none)","FINISHED","none"
"2667","2021/05/12 20:06:21","2021/05/12 21:00:26","00:54:41","Default","2389","General Multiple","none(none)","FINISHED","none"
"2666","2021/05/12 19:52:24","2021/05/12 20:20:29","00:28:42","Default","2388","General Multiple","none(none)","FINISHED","none"
"2665","2021/05/12 19:36:45","2021/05/12 19:36:47","00:00:02 (not finished yet)","Default","2387","General Multiple","none(none)","DATA_RETRIEVED","none"
"2664","2021/05/12 19:27:54","2021/05/12 19:51:58","00:25:59","Default","2386","General Multiple","none(none)","FINISHED","none"
"2663","2021/05/12 19:19:24","2021/05/12 20:05:30","00:47:26","Default","2385","General Multiple","none(none)","FINISHED","none"
"2662","2021/05/12 19:03:02","2021/05/12 19:55:06","00:53:09","Default","2384","General Multiple","none(none)","FINISHED","none"
"2661","2021/05/12 19:00:59","2021/05/12 21:09:10","02:08:55","Default","2383","General Multiple","none(none)","FINISHED","none"
"2660","2021/05/12 18:57:51","2021/05/12 19:41:56","00:44:53","Default","2382","General Multiple","none(none)","FINISHED","none"
"2659","2021/05/12 18:45:49","2021/05/12 19:05:53","01:18:13","Default","2381","General Multiple","none(none)","FINISHED","none"
"2658","2021/05/12 18:42:00","2021/05/12 19:48:23","01:06:49","Default","2380","General Multiple","none(none)","FINISHED","none"
"2657","2021/05/12 18:37:28","2021/05/12 20:35:38","01:58:50","Default","2379","General Multiple","none(none)","FINISHED","none"
"2656","2021/05/12 18:24:15","2021/05/12 19:30:23","01:07:40","Default","2378","General Multiple","none(none)","FINISHED","none"
"2655","2021/05/12 18:23:23","2021/05/12 19:03:28","00:41:33","Default","2377","General Multiple","none(none)","FINISHED","none"
"2654","2021/05/12 18:16:24","2021/05/12 18:46:28","00:31:33","Default","2376","General Multiple","none(none)","FINISHED","none"
"2653","2021/05/12 18:07:00","2021/05/12 19:03:04","00:57:27","Default","2375","General Multiple","none(none)","FINISHED","none"
"2652","2021/05/12 17:56:43","2021/05/12 18:30:49","00:34:39","Default","2374","General Multiple","none(none)","FINISHED","none"
"2651","2021/05/12 17:52:20","2021/05/12 20:59:33","03:07:13 (not finished yet)","Default","2373","General Multiple","none(none)","DATA_RETRIEVED","none"
"2650","2021/05/12 17:51:53","2021/05/12 18:45:59","00:54:58","Default","2372","General Multiple","none(none)","FINISHED","none"
"2649","2021/05/12 17:50:16","2021/05/12 17:50:17","00:00:01 (not finished yet)","Default","2371","General Multiple","none(none)","DATA_RETRIEVED","none"
"2648","2021/05/12 17:44:25","2021/05/12 18:18:29","00:35:46","Default","2370","General Multiple","none(none)","FINISHED","none"
"2647","2021/05/12 17:39:14","2021/05/12 18:17:19","00:38:05","Default","2369","General Multiple","none(none)","FINISHED","none"
"2646","2021/05/12 17:38:35","2021/05/12 20:21:26","02:43:15","Default","2368","General Multiple","none(none)","FINISHED","none"
"2645","2021/05/12 17:38:25","2021/05/12 18:30:57","00:53:22","Default","2367","General Multiple","none(none)","FINISHED","none"
"2644","2021/05/12 17:33:36","2021/05/12 18:27:40","00:54:38","Default","2366","General Multiple","none(none)","FINISHED","none"
"2643","2021/05/12 17:33:30","2021/05/12 19:53:08","02:19:38 (not finished yet)","Default","2365","General Multiple","none(none)","DATA_RETRIEVED","none"
"2642","2021/05/12 17:33:11","2021/05/12 18:47:41","01:14:57","Default","2364","General Multiple","none(none)","FINISHED","none"
"2641","2021/05/12 17:28:56","2021/05/12 18:33:02","01:05:12","Default","2363","General Multiple","none(none)","FINISHED","none"
"2640","2021/05/12 17:25:22","2021/05/12 18:46:13","01:20:58","Default","2362","General Multiple","none(none)","FINISHED","none"
"2639","2021/05/12 17:24:25","2021/05/12 18:40:42","01:16:50","Default","2361","General Multiple","none(none)","FINISHED","none"
"2638","2021/05/12 17:24:00","2021/05/12 18:10:24","00:52:24","Default","2360","General Multiple","none(none)","FINISHED","none"
"2637","2021/05/12 17:23:57","2021/05/12 18:16:20","00:53:44","Default","2359","General Multiple","none(none)","FINISHED","none"
"2636","2021/05/12 17:23:39","2021/05/12 18:11:46","00:50:03","Default","2358","General Multiple","none(none)","FINISHED","none"
"2635","2021/05/12 17:22:41","2021/05/12 17:45:47","00:23:06 (not finished yet)","Default","2357","General Multiple","none(none)","DATA_RETRIEVED","none"
"2634","2021/05/12 17:22:33","2021/05/12 18:30:43","01:09:18","Default","2356","General Multiple","none(none)","FINISHED","none"
"2633","2021/05/12 17:22:25","2021/05/12 17:58:31","00:37:35","Default","2355","General Multiple","none(none)","FINISHED","none"
"2632","2021/05/12 17:22:12","2021/05/12 17:54:15","00:33:54","Default","2354","General Multiple","none(none)","FINISHED","none"
"2631","2021/05/12 17:21:30","2021/05/12 18:27:36","01:07:34","Default","2353","General Multiple","none(none)","FINISHED","none"
"2630","2021/05/12 17:21:10","2021/05/12 18:27:16","01:07:07","Default","2352","General Multiple","none(none)","FINISHED","none"
"2629","2021/05/12 17:20:54","2021/05/12 18:09:04","00:48:18","Default","2351","General Multiple","none(none)","FINISHED","none"
"2628","2021/05/12 17:20:15","2021/05/12 17:50:18","00:31:48","Default","2350","General Multiple","none(none)","FINISHED","none"
